,CODGEO,LIBGEO,NBMENFISC16,NBPERSMENFISC16,MED16,PIMP16,TP6016,TP60AGE116,TP60AGE216,TP60AGE316,TP60AGE416,TP60AGE516,TP60AGE616,TP60TOL116,TP60TOL216,PACT16,PTSA16,PCHO16,PBEN16,PPEN16,PPAT16,PPSOC16,PPFAM16,PPMINI16,PPLOGT16,PIMPOT16,D116,D916,RD16
5075,15134,Montsalvy,368,737.5,19631.612903225807,,,,,,,,,,,,,,,,,,,,,,,,
5076,15135,Montvert,56,106,17467.142857142855,,,,,,,,,,,,,,,,,,,,,,,,
5077,15137,Moussages,131,280.5,17948,,,,,,,,,,,,,,,,,,,,,,,,
5078,15138,Murat,908,1715,19302,,,,,,,,,,,,,,,,,,,,,,,,
5079,15139,Narnhac,,,,,,,,,,,,,,,,,,,,,,,,,,,
5080,15140,Naucelles,866,2046.5,22064.666666666668,57,,,,,,,,,,69.7,61.7,1.9,6.1,33.4,10.8,2.8,1.6,0.7,0.5,-16.7,13618.571428571428,35877,2.6344172873177385
5081,15141,Neussargues en Pinatelle,811,1665.5,19192,,,,,,,,,,,,,,,,,,,,,,,,
5082,15142,Neuvéglise-sur-Truyère,786,1711.5,18616.11111111111,,,,,,,,,,,,,,,,,,,,,,,,
5083,15143,Nieudan,49,111,21056.11111111111,,,,,,,,,,,,,,,,,,,,,,,,
5084,15144,Omps,133,334,18373.33333333333,,,,,,,,,,,,,,,,,,,,,,,,
5085,15146,Pailherols,59,137.5,18675,,,,,,,,,,,,,,,,,,,,,,,,
5086,15147,Parlan,177,403,18192.666666666668,,,,,,,,,,,,,,,,,,,,,,,,
5087,15148,Paulhac,168,398,16764.102564102566,,,,,,,,,,,,,,,,,,,,,,,,
5088,15149,Paulhenc,80,162,18071.33333333333,,,,,,,,,,,,,,,,,,,,,,,,
5089,15151,Peyrusse,74,152.5,16222.4,,,,,,,,,,,,,,,,,,,,,,,,
5090,15152,Pierrefort,391,772,19699.23076923077,,,,,,,,,,,,,,,,,,,,,,,,
5091,15153,Pleaux,748,1430,18769.5,,,,,,,,,,,,,,,,,,,,,,,,
5092,15154,Polminhac,509,1136,19948.09523809524,,,,,,,,,,,,,,,,,,,,,,,,
5093,15155,Pradiers,,,,,,,,,,,,,,,,,,,,,,,,,,,
5094,15156,Prunet,263,684,20496.666666666668,,,,,,,,,,,,,,,,,,,,,,,,
5095,15157,Quézac,136,316,19273,,,,,,,,,,,,,,,,,,,,,,,,
5096,15158,Rageade,46,108,16752,,,,,,,,,,,,,,,,,,,,,,,,
5097,15159,Raulhac,119,236,18588.571428571428,,,,,,,,,,,,,,,,,,,,,,,,
5098,15160,Reilhac,423,1044,21354.78260869565,,,,,,,,,,,,,,,,,,,,,,,,
5099,15161,Rézentières,46,115,16186.666666666666,,,,,,,,,,,,,,,,,,,,,,,,
5100,15162,Riom-ès-Montagnes,1253,2355.5,19357.74193548387,42,15,,,,,,,,,56.1,46.2,2.1,7.8,41.7,10.9,4.6,1.4,1.9,1.3,-13.3,11201.875,31644.666666666668,2.8249437408172
5101,15163,Roannes-Saint-Mary,429,1104,20689,,,,,,,,,,,,,,,,,,,,,,,,
5102,15164,Roffiac,259,611,19494.85714285714,,,,,,,,,,,,,,,,,,,,,,,,
5103,15165,Rouffiac,98,195,16591.333333333332,,,,,,,,,,,,,,,,,,,,,,,,
5104,15166,Roumégoux,126,317,18274.666666666668,,,,,,,,,,,,,,,,,,,,,,,,
5105,15167,Rouziers,49,106,17686.666666666668,,,,,,,,,,,,,,,,,,,,,,,,
5106,15168,Ruynes-en-Margeride,306,708,19524,,,,,,,,,,,,,,,,,,,,,,,,
5107,15169,Saignes,407,770,20067,,,,,,,,,,,,,,,,,,,,,,,,
5108,15170,Saint-Amandin,109,215,18899.444444444445,,,,,,,,,,,,,,,,,,,,,,,,
5109,15172,Saint-Antoine,,,,,,,,,,,,,,,,,,,,,,,,,,,
5110,15173,Saint-Bonnet-de-Condat,51,94,17784.242424242424,,,,,,,,,,,,,,,,,,,,,,,,
5111,15174,Saint-Bonnet-de-Salers,130,282,16900.4,,,,,,,,,,,,,,,,,,,,,,,,
5112,15175,Saint-Cernin,479,1027,19084,,,,,,,,,,,,,,,,,,,,,,,,
5113,15176,Saint-Chamant,112,226,18399.583333333336,,,,,,,,,,,,,,,,,,,,,,,,
5114,15178,Saint-Cirgues-de-Jordanne,63,129.5,16892.38095238095,,,,,,,,,,,,,,,,,,,,,,,,
5115,15179,Saint-Cirgues-de-Malbert,106,249.5,19623,,,,,,,,,,,,,,,,,,,,,,,,
5116,15180,Saint-Clément,,,,,,,,,,,,,,,,,,,,,,,,,,,
5117,15181,Saint-Constant-Fournoulès,275,601.5,18940,,,,,,,,,,,,,,,,,,,,,,,,
5118,15182,Saint-Étienne-Cantalès,55,129,20045,,,,,,,,,,,,,,,,,,,,,,,,
5119,15183,Saint-Étienne-de-Carlat,50,139,18969.04761904762,,,,,,,,,,,,,,,,,,,,,,,,
5120,15184,Saint-Étienne-de-Maurs,344,768.5,21088.666666666668,,,,,,,,,,,,,,,,,,,,,,,,
5121,15185,Saint-Étienne-de-Chomeil,116,231.5,18001.923076923078,,,,,,,,,,,,,,,,,,,,,,,,
5122,15186,Sainte-Eulalie,103,227,19392,,,,,,,,,,,,,,,,,,,,,,,,
5123,15187,Saint-Flour,2975,5795.5,19404.5,44,13,,,,,,,,22,64.6,55.1,2.5,6.9,32.6,12.1,6,1.7,2.3,1.9,-15.3,11380.666666666666,33657.333333333336,2.9574131568156528
5124,15188,Saint-Georges,485,1194,20968,,,,,,,,,,,,,,,,,,,,,,,,
5125,15189,Saint-Gérons,117,235,19345.714285714286,,,,,,,,,,,,,,,,,,,,,,,,
5126,15190,Saint-Hippolyte,48,106,17863.04347826087,,,,,,,,,,,,,,,,,,,,,,,,
5127,15191,Saint-Illide,256,541.5,18068,,,,,,,,,,,,,,,,,,,,,,,,
5128,15192,Saint-Jacques-des-Blats,138,299,18761.33333333333,,,,,,,,,,,,,,,,,,,,,,,,
5129,15194,Saint-Julien-de-Toursac,53,112,19202.666666666668,,,,,,,,,,,,,,,,,,,,,,,,
5130,15196,Saint-Mamet-la-Salvetat,660,1554.5,19852,,,,,,,,,,,,,,,,,,,,,,,,
5131,15198,Sainte-Marie,50,103,18565.652173913044,,,,,,,,,,,,,,,,,,,,,,,,
5132,15199,Saint-Martial,,,,,,,,,,,,,,,,,,,,,,,,,,,
5133,15200,Saint-Martin-Cantalès,71,148,17678.666666666668,,,,,,,,,,,,,,,,,,,,,,,,
5134,15201,Saint-Martin-sous-Vigouroux,95,208,17038.076923076922,,,,,,,,,,,,,,,,,,,,,,,,
5135,15202,Saint-Martin-Valmeroux,346,684,19033,,,,,,,,,,,,,,,,,,,,,,,,
5136,15203,Saint-Mary-le-Plain,75,161,18437.916666666668,,,,,,,,,,,,,,,,,,,,,,,,
5137,15204,Saint-Paul-des-Landes,658,1581.5,20698.333333333336,,,,,,,,,,,,,,,,,,,,,,,,
5138,15205,Saint-Paul-de-Salers,51,105,20722.666666666668,,,,,,,,,,,,,,,,,,,,,,,,
5139,15206,Saint-Pierre,63,135,18308,,,,,,,,,,,,,,,,,,,,,,,,
5140,15207,Saint-Poncy,154,351.5,16030.666666666666,,,,,,,,,,,,,,,,,,,,,,,,
5141,15208,Saint-Projet-de-Salers,60,120,17748.57142857143,,,,,,,,,,,,,,,,,,,,,,,,
5142,15209,Saint-Rémy-de-Chaudes-Aigues,45,101,16396.666666666668,,,,,,,,,,,,,,,,,,,,,,,,
5143,15211,Saint-Santin-Cantalès,128,304,15743.793103448275,,,,,,,,,,,,,,,,,,,,,,,,
5144,15212,Saint-Santin-de-Maurs,154,353.5,20433.5,,,,,,,,,,,,,,,,,,,,,,,,
5145,15213,Saint-Saturnin,92,189.5,16632.666666666668,,,,,,,,,,,,,,,,,,,,,,,,
5146,15214,Saint-Saury,81,190.5,16546.666666666668,,,,,,,,,,,,,,,,,,,,,,,,
5147,15215,Saint-Simon,492,1211,21286.666666666668,,,,,,,,,,,,,,,,,,,,,,,,
5148,15216,Saint-Urcize,168,321,18895.652173913044,,,,,,,,,,,,,,,,,,,,,,,,
5149,15217,Saint-Victor,46,109,16171.6,,,,,,,,,,,,,,,,,,,,,,,,
5150,15218,Saint-Vincent-de-Salers,,,,,,,,,,,,,,,,,,,,,,,,,,,
5151,15219,Salers,149,284,20733.666666666664,,,,,,,,,,,,,,,,,,,,,,,,
5152,15220,Salins,72,148.5,20986.8,,,,,,,,,,,,,,,,,,,,,,,,
5153,15221,Sansac-de-Marmiesse,555,1386.5,21376.11111111111,,,,,,,,,,,,,,,,,,,,,,,,
5154,15222,Sansac-Veinazès,91,221,16901.666666666668,,,,,,,,,,,,,,,,,,,,,,,,
5155,15223,Sauvat,97,219,17513.5,,,,,,,,,,,,,,,,,,,,,,,,
5156,15224,La Ségalassière,53,112,18322.333333333336,,,,,,,,,,,,,,,,,,,,,,,,
5157,15225,Ségur-les-Villas,94,182,18933.809523809523,,,,,,,,,,,,,,,,,,,,,,,,
5158,15226,Sénezergues,86,194,18250,,,,,,,,,,,,,,,,,,,,,,,,
5159,15228,Siran,239,488,17803.2,,,,,,,,,,,,,,,,,,,,,,,,
5160,15229,Soulages,,,,,,,,,,,,,,,,,,,,,,,,,,,
5161,15230,Sourniac,84,210,18095.5,,,,,,,,,,,,,,,,,,,,,,,,
5162,15231,Talizat,266,602.5,19152.85714285714,,,,,,,,,,,,,,,,,,,,,,,,
5163,15232,Tanavelle,102,238,19072.38095238095,,,,,,,,,,,,,,,,,,,,,,,,
5164,15233,Teissières-de-Cornet,101,268.5,21847.222222222223,,,,,,,,,,,,,,,,,,,,,,,,
5165,15234,Teissières-lès-Bouliès,140,326,20124.2,,,,,,,,,,,,,,,,,,,,,,,,
5166,15235,Les Ternes,249,595.5,18463.809523809523,,,,,,,,,,,,,,,,,,,,,,,,
5167,15236,Thiézac,289,603,19831,,,,,,,,,,,,,,,,,,,,,,,,
5168,15237,Tiviers,71,176,22015.714285714286,,,,,,,,,,,,,,,,,,,,,,,,
