,CODGEO,LIBGEO,NBMENFISC16,NBPERSMENFISC16,MED16,PIMP16,TP6016,TP60AGE116,TP60AGE216,TP60AGE316,TP60AGE416,TP60AGE516,TP60AGE616,TP60TOL116,TP60TOL216,PACT16,PTSA16,PCHO16,PBEN16,PPEN16,PPAT16,PPSOC16,PPFAM16,PPMINI16,PPLOGT16,PIMPOT16,D116,D916,RD16
0,01001,L'Abergement-Clémenciat,313,795.5,22679,,,,,,,,,,,,,,,,,,,,,,,,
1,01002,L'Abergement-de-Varey,101,248,24382.083333333336,,,,,,,,,,,,,,,,,,,,,,,,
2,01004,Ambérieu-en-Bugey,6363,14228,19721,49,17,19,22,22,15,9,,5,28,73,66,3.3,3.7,27,8.8,6.9,2.8,2.1,2,-15.7,10457.083333333334,33880.555555555555,3.239962279688143
3,01005,Ambérieux-en-Dombes,633,1662.5,23378,,,,,,,,,,,,,,,,,,,,,,,,
4,01006,Ambléon,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,01007,Ambronay,1087,2684,22146.451612903224,57,,,,,,,,,,75.5,70.5,2.5,2.6,27.2,8.1,4.2,2.4,1,0.8,-15,13947,34914.782608695656,2.5033901633824946
6,01008,Ambutrix,297,736,24893.809523809523,,,,,,,,,,,,,,,,,,,,,,,,
7,01009,Andert-et-Condon,141,331,23088,,,,,,,,,,,,,,,,,,,,,,,,
8,01010,Anglefort,441,1061.5,22880.555555555555,,,,,,,,,,,,,,,,,,,,,,,,
9,01011,Apremont,143,364.5,23246.08695652174,,,,,,,,,,,,,,,,,,,,,,,,
10,01012,Aranc,149,329,21178.11904761905,,,,,,,,,,,,,,,,,,,,,,,,
11,01013,Arandas,65,143,18244,,,,,,,,,,,,,,,,,,,,,,,,
12,01014,Arbent,1314,3447,20158,52,12,,,,,,,,24,71.1,65.5,3.5,2.1,29,13.2,4.7,2.3,1.4,1.1,-18,11999.444444444443,35545.71428571429,2.962279999735438
13,01015,Arboys en Bugey,289,667.5,22357,,,,,,,,,,,,,,,,,,,,,,,,
14,01016,Arbigny,176,468.5,20405.95744680851,,,,,,,,,,,,,,,,,,,,,,,,
15,01017,Argis,198,430.5,18831,,,,,,,,,,,,,,,,,,,,,,,,
16,01019,Armix,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,01021,Ars-sur-Formans,496,1290,23152.85714285714,,,,,,,,,,,,,,,,,,,,,,,,
18,01022,Artemare,562,1195.5,19845,,,,,,,,,,,,,,,,,,,,,,,,
19,01023,Asnières-sur-Saône,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,01024,Attignat,1263,3254,21977.14285714285,58,,,,,,,,,,79.5,72.7,2.3,4.5,25.1,7.1,3.9,2.5,0.7,0.7,-15.6,14182,34394,2.4251868565787618
21,01025,Bâgé-Dommartin,1544,4151,21970.666666666664,55,6,,,,,,,,,79.6,71.9,2.4,5.2,23,8.1,4.1,2.7,0.8,0.6,-14.8,13942,33091.90476190476,2.3735407231318866
22,01026,Bâgé-le-Châtel,398,884.5,20722,,,,,,,,,,,,,,,,,,,,,,,,
23,01027,Balan,647,1812,23696.666666666668,,,,,,,,,,,,,,,,,,,,,,,,
24,01028,Baneins,225,600,22508.8,,,,,,,,,,,,,,,,,,,,,,,,
25,01029,Beaupont,256,613.5,19568,,,,,,,,,,,,,,,,,,,,,,,,
26,01030,Beauregard,363,884.5,21003,,,,,,,,,,,,,,,,,,,,,,,,
27,01031,Bellignat,1559,3555,18916.07142857143,47,19,,33,,,,,,31,67.6,62.3,3.3,2,29.8,9.8,7.6,3.1,2.3,2.2,-14.8,10216.53846153846,34472.666666666664,3.3742022110956347
28,01032,Béligneux,1167,3260.5,20826,51,8,,,,,,,,,81.3,75.6,3.3,2.4,21.4,6.5,5.5,3.6,0.9,1,-14.7,13348.260869565218,34041.333333333336,2.5502448345873643
29,01033,Valserhône,6472,15255,21405.23809523809,45,16,18,18,20,16,13,,7,27,78.2,71.4,4.3,2.5,23.9,7.2,4.6,1.9,1.5,1.2,-13.9,10533.529411764706,45125.333333333336,4.2839708866178965
30,01034,Belley,4003,8758,18818,45,19,,21,24,17,15,,8,29,65.5,57.9,3.3,4.3,32.4,9.7,7.4,2.7,2.7,2,-15,10365.714285714284,32880.68965517241,3.1720621221913854
31,01035,Belleydoux,143,319,22077.733333333334,,,,,,,,,,,,,,,,,,,,,,,,
32,01036,Valromey-sur-Séran,579,1311,21142.4,,,,,,,,,,,,,,,,,,,,,,,,
33,01037,Bénonces,116,272,20662.59259259259,,,,,,,,,,,,,,,,,,,,,,,,
34,01038,Bény,308,769.5,21909.33333333333,,,,,,,,,,,,,,,,,,,,,,,,
35,01039,Béon,199,477,20663,,,,,,,,,,,,,,,,,,,,,,,,
36,01040,Béréziat,181,486.5,20759.52380952381,,,,,,,,,,,,,,,,,,,,,,,,
37,01041,Bettant,326,794.5,22408.33333333333,,,,,,,,,,,,,,,,,,,,,,,,
38,01042,Bey,113,295,24139.33333333333,,,,,,,,,,,,,,,,,,,,,,,,
39,01043,Beynost,1774,4672.5,26233,69,5,,,,,,,,,78.7,70.7,2.5,5.5,25.9,12,2.7,1.7,0.5,0.5,-19.3,15268,45707.66666666666,2.9936905073792675
40,01044,Billiat,224,555,25119.5,,,,,,,,,,,,,,,,,,,,,,,,
41,01045,Birieux,99,298,24397.5,,,,,,,,,,,,,,,,,,,,,,,,
42,01046,Biziat,331,873.5,21490.666666666668,,,,,,,,,,,,,,,,,,,,,,,,
43,01047,Blyes,373,1033.5,25808.666666666668,,,,,,,,,,,,,,,,,,,,,,,,
44,01049,La Boisse,1177,3153,24686,66,,,,,,,,,,80.8,74.6,2.5,3.7,23.6,9.6,3,2,0.6,0.4,-17,14860,39262,2.6421265141318977
45,01050,Boissey,126,339,19861.666666666668,,,,,,,,,,,,,,,,,,,,,,,,
46,01051,Bolozon,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,01052,Bouligneux,130,313.5,25697.2,,,,,,,,,,,,,,,,,,,,,,,,
48,01053,Bourg-en-Bresse,18601,38014.5,18249.285714285717,46,22,27,28,26,22,15,9,5,32,64.6,57.5,3.4,3.7,33.4,9.5,8.2,2.6,3,2.5,-15.7,9790,33774,3.449846782431052
49,01054,Bourg-Saint-Christophe,510,1400.5,25382,,,,,,,,,,,,,,,,,,,,,,,,
50,01056,Boyeux-Saint-Jérôme,144,347.5,20805.416666666668,,,,,,,,,,,,,,,,,,,,,,,,
51,01057,Boz,199,502,20777.777777777777,,,,,,,,,,,,,,,,,,,,,,,,
52,01058,Brégnier-Cordon,337,826.5,20812.38095238095,,,,,,,,,,,,,,,,,,,,,,,,
53,01060,Brénod,224,497,23065.5,,,,,,,,,,,,,,,,,,,,,,,,
54,01061,Brens,435,1195.5,22615.76923076923,,,,,,,,,,,,,,,,,,,,,,,,
55,01062,Bressolles,338,917,25953.478260869568,,,,,,,,,,,,,,,,,,,,,,,,
56,01063,Brion,211,494.5,24311.33333333333,,,,,,,,,,,,,,,,,,,,,,,,
57,01064,Briord,412,1010,21123.33333333333,,,,,,,,,,,,,,,,,,,,,,,,
58,01065,Buellas,720,1831.5,24043.33333333333,,,,,,,,,,,,,,,,,,,,,,,,
59,01066,La Burbanche,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,01067,Ceignes,101,250,22145.714285714286,,,,,,,,,,,,,,,,,,,,,,,,
61,01068,Cerdon,300,695,19880,,,,,,,,,,,,,,,,,,,,,,,,
62,01069,Certines,606,1500.5,22985,,,,,,,,,,,,,,,,,,,,,,,,
63,01071,Cessy,1681,4238,39100.55555555556,61,8,,,,,,,,,95.9,90,3.2,2.7,14.5,6.4,0.9,0.4,0.3,0.2,-17.7,14398.666666666666,79857.82608695653,5.5461959038075195
64,01072,Ceyzériat,1277,3039.5,22805.833333333336,64,,,,,,,,,,76.1,67.6,2.3,6.2,27.8,10.1,3.8,2.1,1,0.7,-17.8,14314.857142857143,39252.66666666666,2.7420927973600513
65,01073,Ceyzérieu,444,1033,22682,,,,,,,,,,,,,,,,,,,,,,,,
66,01074,Chalamont,976,2338,21290,49,11,,,,,,,,,78.7,71.4,3,4.2,22.8,9.2,4.5,2.5,1.1,1,-15.2,12344.615384615385,33461.333333333336,2.7106015287470924
67,01075,Chaleins,495,1370,23195.20869565217,,,,,,,,,,,,,,,,,,,,,,,,
68,01076,Chaley,76,146,20438.833333333336,,,,,,,,,,,,,,,,,,,,,,,,
69,01077,Challes-la-Montagne,91,190,21320.434782608696,,,,,,,,,,,,,,,,,,,,,,,,
70,01078,Challex,504,1236.5,42084.5,,,,,,,,,,,,,,,,,,,,,,,,
71,01079,Champagne-en-Valromey,311,709,20290,,,,,,,,,,,,,,,,,,,,,,,,
72,01080,Champdor-Corcelles,282,665,21599,,,,,,,,,,,,,,,,,,,,,,,,
73,01081,Champfromier,299,689.5,22962.4,,,,,,,,,,,,,,,,,,,,,,,,
74,01082,Chanay,219,540,23821.333333333336,,,,,,,,,,,,,,,,,,,,,,,,
75,01083,Chaneins,343,929.5,22744,,,,,,,,,,,,,,,,,,,,,,,,
76,01084,Chanoz-Châtenay,314,847.5,20934.285714285717,,,,,,,,,,,,,,,,,,,,,,,,
77,01085,La Chapelle-du-Châtelard,145,392.5,21769,,,,,,,,,,,,,,,,,,,,,,,,
78,01087,Charix,116,284.5,24140.555555555555,,,,,,,,,,,,,,,,,,,,,,,,
79,01088,Charnoz-sur-Ain,353,941.5,25692.666666666668,,,,,,,,,,,,,,,,,,,,,,,,
80,01089,Château-Gaillard,822,2221.5,21886.4,57,,,,,,,,,,81,74.5,2.9,3.7,21.1,7.5,4.6,3,0.7,0.9,-14.2,12947.2,33312.666666666664,2.5729630087329047
81,01090,Châtenay,144,347.5,22320,,,,,,,,,,,,,,,,,,,,,,,,
82,01092,Châtillon-la-Palud,627,1634,23277.222222222223,,,,,,,,,,,,,,,,,,,,,,,,
83,01093,Châtillon-sur-Chalaronne,2153,4628,20848.666666666664,51,10,,,,,,,,16,66.9,59.8,2.7,4.5,33.1,10.5,5,2.1,1.5,1.4,-15.5,12730.666666666666,35025.5,2.7512698994553832
84,01094,Chavannes-sur-Reyssouze,312,752,20651.33333333333,,,,,,,,,,,,,,,,,,,,,,,,
85,01095,Nivigne et Suran,331,786,20241.666666666664,,,,,,,,,,,,,,,,,,,,,,,,
86,01096,Chaveyriat,381,1011.5,21556,,,,,,,,,,,,,,,,,,,,,,,,
87,01098,Chazey-Bons,444,1115,20509.52380952381,,,,,,,,,,,,,,,,,,,,,,,,
88,01099,Chazey-sur-Ain,632,1558,24182,,,,,,,,,,,,,,,,,,,,,,,,
89,01100,Cheignieu-la-Balme,72,141.5,20032.63157894737,,,,,,,,,,,,,,,,,,,,,,,,
90,01101,Chevillard,67,162,25300.42857142857,,,,,,,,,,,,,,,,,,,,,,,,
91,01102,Chevroux,361,939,21651.33333333333,,,,,,,,,,,,,,,,,,,,,,,,
92,01103,Chevry,590,1461.5,39235.65217391305,,,,,,,,,,,,,,,,,,,,,,,,
93,01104,Chézery-Forens,187,437,24774.8,,,,,,,,,,,,,,,,,,,,,,,,
94,01105,Civrieux,624,1716.5,25782.666666666668,,,,,,,,,,,,,,,,,,,,,,,,
95,01106,Cize,70,160,21393.33333333333,,,,,,,,,,,,,,,,,,,,,,,,
96,01107,Cleyzieu,61,127,21660,,,,,,,,,,,,,,,,,,,,,,,,
97,01108,Coligny,516,1103.5,20576,,,,,,,,,,,,,,,,,,,,,,,,
98,01109,Collonges,737,1914.5,31876,,,,,,,,,,,,,,,,,,,,,,,,
99,01110,Colomieu,70,155,20112.666666666668,,,,,,,,,,,,,,,,,,,,,,,,
100,01111,Conand,51,123,19723.809523809523,,,,,,,,,,,,,,,,,,,,,,,,
101,01112,Condamine,162,432,21874,,,,,,,,,,,,,,,,,,,,,,,,
102,01113,Condeissiat,336,825.5,19951.11111111111,,,,,,,,,,,,,,,,,,,,,,,,
103,01114,Confort,213,541,27677.75,,,,,,,,,,,,,,,,,,,,,,,,
104,01115,Confrançon,543,1339.5,20859,,,,,,,,,,,,,,,,,,,,,,,,
105,01116,Contrevoz,211,500.5,21717.33333333333,,,,,,,,,,,,,,,,,,,,,,,,
106,01117,Conzieu,56,154,18354.875,,,,,,,,,,,,,,,,,,,,,,,,
107,01118,Corbonod,438,1048,24204,,,,,,,,,,,,,,,,,,,,,,,,
108,01121,Corlier,41,105.5,19896,,,,,,,,,,,,,,,,,,,,,,,,
109,01123,Cormoranche-sur-Saône,432,1157.5,23005.652173913044,,,,,,,,,,,,,,,,,,,,,,,,
110,01124,Cormoz,293,660,20591.904761904763,,,,,,,,,,,,,,,,,,,,,,,,
111,01125,Corveissiat,258,620.5,21892.17391304348,,,,,,,,,,,,,,,,,,,,,,,,
112,01127,Courmangoux,214,484,23059.6,,,,,,,,,,,,,,,,,,,,,,,,
113,01128,Courtes,123,297,19992,,,,,,,,,,,,,,,,,,,,,,,,
114,01129,Crans,111,276.5,21660,,,,,,,,,,,,,,,,,,,,,,,,
115,01130,Bresse Vallons,858,2287.5,21828,56,,,,,,,,,,78.8,71.6,2.2,5,23.3,8.3,4,2.9,0.6,0.5,-14.4,14119.166666666668,33101.72413793104,2.3444531054427933
116,01133,Cressin-Rochefort,170,441.5,22578,,,,,,,,,,,,,,,,,,,,,,,,
117,01134,Crottet,698,1795,22457.33333333333,,,,,,,,,,,,,,,,,,,,,,,,
118,01135,Crozet,670,1835.5,38347.6,,,,,,,,,,,,,,,,,,,,,,,,
119,01136,Cruzilles-lès-Mépillat,330,900.5,22133.33333333333,,,,,,,,,,,,,,,,,,,,,,,,
120,01138,Culoz,1244,2809.5,19460,47,15,,,,,,,,30,67,60.8,3.8,2.4,32.4,7.6,5.9,2.7,1.7,1.5,-12.9,11170.5,31675.33333333333,2.835623591901287
121,01139,Curciat-Dongalon,196,444.5,18522,,,,,,,,,,,,,,,,,,,,,,,,
122,01140,Curtafond,295,755.5,22356.5,,,,,,,,,,,,,,,,,,,,,,,,
123,01141,Cuzieu,178,440.5,23300,,,,,,,,,,,,,,,,,,,,,,,,
124,01142,Dagneux,1800,4826.5,22912.666666666668,61,7,,,,,,,,13,80.8,74.8,3.2,2.8,21.7,8.8,4.4,2.6,0.9,0.9,-15.7,14014.761904761905,36398.09523809524,2.5971254799361216
125,01143,Divonne-les-Bains,3665,8622,43324.8,67,10,,,8,14,,,7,13,95.3,89.2,3,3,16.4,8.9,0.7,0.2,0.3,0.2,-21.3,13074,105716.11111111112,8.085980657114206
126,01145,Dompierre-sur-Veyle,484,1168.5,20832.14285714286,,,,,,,,,,,,,,,,,,,,,,,,
127,01146,Dompierre-sur-Chalaronne,158,445.5,22262.777777777777,,,,,,,,,,,,,,,,,,,,,,,,
128,01147,Domsure,194,478,19995.76923076923,,,,,,,,,,,,,,,,,,,,,,,,
129,01148,Dortan,775,1857,21717.833333333336,,,,,,,,,,,,,,,,,,,,,,,,
130,01149,Douvres,434,1091.5,24938.46153846154,,,,,,,,,,,,,,,,,,,,,,,,
131,01150,Drom,90,215.5,21995.454545454548,,,,,,,,,,,,,,,,,,,,,,,,
132,01151,Druillat,481,1150.5,22102,,,,,,,,,,,,,,,,,,,,,,,,
133,01152,Échallon,296,754,25155.571428571428,,,,,,,,,,,,,,,,,,,,,,,,
134,01153,Échenevex,664,1860,47217.86666666667,,,,,,,,,,,,,,,,,,,,,,,,
135,01155,Évosges,63,146,21078.983870967742,,,,,,,,,,,,,,,,,,,,,,,,
136,01156,Faramans,288,791,23749.28571428571,,,,,,,,,,,,,,,,,,,,,,,,
137,01157,Fareins,867,2264.5,24723.46153846154,63,,,,,,,,,,74.6,68.4,2.9,3.2,26.6,14.6,2.7,1.8,0.5,0.4,-18.5,15235.833333333334,42113.6,2.764115298364601
138,01158,Farges,334,872.5,34414.64285714286,,,,,,,,,,,,,,,,,,,,,,,,
139,01159,Feillens,1432,3442,21822,58,7,,,,,,,,,75.8,67.9,2.2,5.7,25.8,10.6,3.6,2.1,0.8,0.7,-15.8,13701,35836.666666666664,2.615624163686349
140,01160,Ferney-Voltaire,3121,6647,26579.33333333333,44,22,,23,24,26,,,15,27,82.3,77.4,3.3,1.5,23.1,9.5,2.4,0.8,0.8,0.7,-17.3,7311.5,70676.92307692308,9.666542170132406
141,01162,Flaxieu,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,01163,Foissiat,826,2033,21330,48,,,,,,,,,,73.1,65.2,2.5,5.5,27.7,9.2,4,2.4,0.9,0.8,-14,13154,33485.333333333336,2.545638842430693
143,01165,Francheleins,565,1612.5,23034,,,,,,,,,,,,,,,,,,,,,,,,
144,01166,Frans,891,2417.5,24399.666666666668,65,,,,,,,,,,80.2,72.6,2.5,5.1,23.7,10,2.9,1.8,0.5,0.5,-16.8,15447.333333333334,37312.121212121216,2.4154409312581167
145,01167,Garnerans,263,689,22641.666666666668,,,,,,,,,,,,,,,,,,,,,,,,
146,01169,Genouilleux,231,643.5,23166.8,,,,,,,,,,,,,,,,,,,,,,,,
147,01170,Béard-Géovreissiat,373,1087,21122,,,,,,,,,,,,,,,,,,,,,,,,
148,01171,Géovreisset,321,932,22391.42857142857,,,,,,,,,,,,,,,,,,,,,,,,
149,01173,Gex,4894,11275.5,32304.285714285717,60,11,,8,13,13,,,7,15,99.4,93.7,3.4,2.3,11,5.6,2,0.8,0.6,0.6,-18,11719.444444444443,68949,5.883299360037924
150,01174,Giron,69,157,21643.33333333333,,,,,,,,,,,,,,,,,,,,,,,,
151,01175,Gorrevod,337,837.5,20351,,,,,,,,,,,,,,,,,,,,,,,,
152,01177,Grand-Corent,82,176,23120.833333333336,,,,,,,,,,,,,,,,,,,,,,,,
153,01179,Grièges,812,1957.5,22504.666666666668,,,,,,,,,,,,,,,,,,,,,,,,
154,01180,Grilly,260,647.5,45126.66666666666,,,,,,,,,,,,,,,,,,,,,,,,
155,01181,Groissiat,429,1209.5,22551.923076923074,,,,,,,,,,,,,,,,,,,,,,,,
156,01183,Guéreins,553,1462,23559.666666666668,,,,,,,,,,,,,,,,,,,,,,,,
157,01184,Hautecourt-Romanèche,349,806,20962.85714285714,,,,,,,,,,,,,,,,,,,,,,,,
158,01185,Plateau d'Hauteville,2008,4107.5,21040.5,53,10,,,,,,,,20,64.4,56.1,2.9,5.4,36.3,9.3,4.8,1.7,1.8,1.3,-14.8,12457,34773.913043478264,2.791515858029884
159,01187,Haut Valromey,311,680,20419.33333333333,,,,,,,,,,,,,,,,,,,,,,,,
160,01188,Illiat,237,670.5,22645,,,,,,,,,,,,,,,,,,,,,,,,
161,01189,Injoux-Génissiat,431,1052,26495.33333333333,,,,,,,,,,,,,,,,,,,,,,,,
162,01190,Innimond,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,01191,Izenave,72,164,21624.48809523809,,,,,,,,,,,,,,,,,,,,,,,,
164,01192,Izernore,896,2243,21531.916666666664,59,,,,,,,,,,80.5,73.2,3.5,3.8,21.2,8.6,4.4,2.3,0.9,1.1,-14.7,13230.967741935485,32783.88888888889,2.477814890665973
165,01193,Izieu,95,199,21748,,,,,,,,,,,,,,,,,,,,,,,,
166,01194,Jassans-Riottier,2554,6172.5,21516.666666666668,53,11,,,,,,,5,21,74.1,67.2,3.3,3.5,28.9,7.5,4.8,2.3,1.2,1.3,-15.3,12320,34857,2.829301948051948
167,01195,Jasseron,657,1670,23180,,,,,,,,,,,,,,,,,,,,,,,,
168,01196,Jayat,434,1147,21125.33333333333,,,,,,,,,,,,,,,,,,,,,,,,
169,01197,Journans,154,353,25521,,,,,,,,,,,,,,,,,,,,,,,,
170,01198,Joyeux,97,245,21656.88888888889,,,,,,,,,,,,,,,,,,,,,,,,
171,01199,Jujurieux,885,2030,20566,49,,,,,,,,,,75.4,68.7,3,3.7,26.5,7.6,4.8,2.6,1,1.1,-14.3,12607.2,33642.857142857145,2.6685431454135053
172,01200,Labalme,74,190,20601.33333333333,,,,,,,,,,,,,,,,,,,,,,,,
173,01202,Lagnieu,3095,7123,21627.333333333336,53,10,,,12,,,,,19,73.6,66.3,3.2,4,28.6,8.2,4.8,2.3,1.3,1.2,-15.2,12623.75,35432,2.8067729478166155
174,01203,Laiz,480,1237,21998.666666666668,,,,,,,,,,,,,,,,,,,,,,,,
175,01204,Le Poizat-Lalleyriat,265,648,23249.04761904762,,,,,,,,,,,,,,,,,,,,,,,,
176,01206,Lantenay,118,293,23922.69230769231,,,,,,,,,,,,,,,,,,,,,,,,
177,01207,Lapeyrouse,112,321,24647.5,,,,,,,,,,,,,,,,,,,,,,,,
178,01208,Lavours,65,133,20849,,,,,,,,,,,,,,,,,,,,,,,,
179,01209,Léaz,251,668.5,28474.583333333336,,,,,,,,,,,,,,,,,,,,,,,,
180,01210,Lélex,88,177,22281,,,,,,,,,,,,,,,,,,,,,,,,
181,01211,Lent,600,1423,22232.75,,,,,,,,,,,,,,,,,,,,,,,,
182,01212,Lescheroux,285,692.5,19566.785714285717,,,,,,,,,,,,,,,,,,,,,,,,
183,01213,Leyment,495,1360,22004.666666666668,,,,,,,,,,,,,,,,,,,,,,,,
184,01214,Leyssard,70,143.5,22479,,,,,,,,,,,,,,,,,,,,,,,,
185,01215,Surjoux-Lhopital,60,132,23639,,,,,,,,,,,,,,,,,,,,,,,,
186,01216,Lhuis,353,823.5,20981.90476190476,,,,,,,,,,,,,,,,,,,,,,,,
187,01219,Lompnas,73,165.5,15455,,,,,,,,,,,,,,,,,,,,,,,,
188,01224,Loyettes,1209,3194,21234.32712215321,51,9,,,,,,,,,79.8,74.1,3.1,2.7,22.1,7.6,4.9,3.2,0.9,0.8,-14.4,12769.047619047618,32646.666666666668,2.5567033376841324
189,01225,Lurcy,156,408.5,24846.95652173913,,,,,,,,,,,,,,,,,,,,,,,,
190,01227,Magnieu,254,620,21920,,,,,,,,,,,,,,,,,,,,,,,,
191,01228,Maillat,256,628,22989.13043478261,,,,,,,,,,,,,,,,,,,,,,,,
192,01229,Malafretaz,494,1182,21420,,,,,,,,,,,,,,,,,,,,,,,,
193,01230,Mantenay-Montlin,134,313.5,19246.666666666668,,,,,,,,,,,,,,,,,,,,,,,,
194,01231,Manziat,814,2058.5,22719.52380952381,60,,,,,,,,,,73.3,65.1,1.5,6.6,26.8,13.2,3.1,2.2,0.4,0.5,-16.4,14791.333333333334,34471.90476190476,2.3305474891989517
195,01232,Marboz,921,2171,21587.407407407405,52,,,,,,,,,,69.5,61.1,2.2,6.1,32.5,9.4,3.9,2,1,0.8,-15.3,13320,34160.666666666664,2.5646146146146145
196,01233,Marchamp,58,126,22061.666666666668,,,,,,,,,,,,,,,,,,,,,,,,
197,01234,Marignieu,69,153.5,23406.666666666668,,,,,,,,,,,,,,,,,,,,,,,,
198,01235,Marlieux,417,1049.5,20960,,,,,,,,,,,,,,,,,,,,,,,,
199,01236,Marsonnas,399,978,21475.416666666668,,,,,,,,,,,,,,,,,,,,,,,,
200,01237,Martignat,616,1699,20498,,,,,,,,,,,,,,,,,,,,,,,,
201,01238,Massieux,964,2642,25812.666666666668,70,,,,,,,,,,80.1,73.2,3,4,25,9.4,2.5,1.7,0.4,0.4,-17,15640.476190476187,40792,2.6081047343583506
202,01239,Massignieu-de-Rives,256,626.5,22740,,,,,,,,,,,,,,,,,,,,,,,,
203,01240,Matafelon-Granges,276,666.5,22167.222222222223,,,,,,,,,,,,,,,,,,,,,,,,
204,01241,Meillonnas,545,1279,23621.25,,,,,,,,,,,,,,,,,,,,,,,,
205,01242,Mérignat,49,108,18666,,,,,,,,,,,,,,,,,,,,,,,,
206,01243,Messimy-sur-Saône,477,1266.5,24393.07692307692,,,,,,,,,,,,,,,,,,,,,,,,
207,01244,Meximieux,3182,7609.5,22334.5,55,11,,,12,,,,,20,80.8,75.1,2.9,2.9,22.7,6.8,5.2,2.5,1.4,1.3,-15.5,12165.5,38046,3.1273683777896513
208,01245,Bohas-Meyriat-Rignat,387,932,22882,,,,,,,,,,,,,,,,,,,,,,,,
209,01246,Mézériat,871,2139,21530,51,10,,,,,,,,,70.1,62.7,2.8,4.6,30.5,8.6,5.1,2.8,1.2,1.2,-14.3,12316,32658,2.651672620980838
210,01247,Mijoux,135,320.5,27065,,,,,,,,,,,,,,,,,,,,,,,,
211,01248,Mionnay,806,2268.5,26487.33333333333,70,,,,,,,,,,87.3,79.8,2.6,4.9,19.7,8.2,2.3,1.5,0.4,0.4,-17.5,15896.5,42467.333333333336,2.671489531238533
212,01249,Miribel,3782,9176.5,24033.33333333333,63,8,,,10,,,,,16,78.8,72.3,2.7,3.8,23.8,10.7,3.8,2,1,0.9,-17.1,13324.615384615385,40007.333333333336,3.0025131816957242
213,01250,Misérieux,658,1856,24855,,,,,,,,,,,,,,,,,,,,,,,,
214,01252,Mogneneins,302,797,23380,,,,,,,,,,,,,,,,,,,,,,,,
215,01254,Montagnat,778,2057.5,25418.666666666668,71,,,,,,,,,,79.4,72.2,1.9,5.3,26.2,11.4,2.4,1.7,0.3,0.4,-19.4,15692.666666666666,43865.333333333336,2.795275925060538
216,01255,Montagnieu,249,583,20675.45893719807,,,,,,,,,,,,,,,,,,,,,,,,
217,01257,Montanges,133,335,25520.833333333336,,,,,,,,,,,,,,,,,,,,,,,,
218,01258,Montceaux,445,1235,24066.666666666664,,,,,,,,,,,,,,,,,,,,,,,,
219,01259,Montcet,247,691.5,22742.8,,,,,,,,,,,,,,,,,,,,,,,,
220,01260,Le Montellier,106,284,24780.95238095238,,,,,,,,,,,,,,,,,,,,,,,,
221,01261,Monthieux,240,671.5,24479.52380952381,,,,,,,,,,,,,,,,,,,,,,,,
222,01262,Montluel,2836,6938.5,21097.14285714285,53,14,,16,15,,,,,27,78.6,71.9,3.3,3.4,23.1,8.3,5.6,2.7,1.5,1.4,-15.6,11654.137931034484,36074,3.0953812468562294
223,01263,Montmerle-sur-Saône,1546,3852,23398.09523809524,61,6,,,,,,,,,74.4,67.7,2.5,4.2,27.9,11.3,3.5,2.1,0.7,0.7,-17.1,14095.5,38888,2.7588946827001526
224,01264,Montracol,402,1044.5,21969.33333333333,,,,,,,,,,,,,,,,,,,,,,,,
225,01265,Montréal-la-Cluse,1459,3463,18803.733333333334,47,17,,,,,,,,26,74.3,67.7,4,2.5,25.7,7.6,6.4,2.8,1.9,1.8,-14,11197.333333333334,31711.33333333333,2.8320433436532504
226,01266,Montrevel-en-Bresse,1077,2298,20812.571428571428,49,9,,,,,,,,,63,57.5,2.1,3.4,37,9.6,4.5,2,1.3,1.2,-14.1,12922,32121.2,2.4857761956353506
227,01267,Nurieux-Volognat,400,1027,21759,,,,,,,,,,,,,,,,,,,,,,,,
228,01268,Murs-et-Gélignieux,102,250,21734,,,,,,,,,,,,,,,,,,,,,,,,
229,01269,Nantua,1394,3146,17052.380952380954,41,26,,34,31,,,,,36,69.7,62.5,3.9,3.3,26.2,9.5,8.5,3.5,2.4,2.5,-13.9,9423.076923076922,32015,3.397510204081633
230,01272,Neuville-les-Dames,640,1475.5,20925.33333333333,,,,,,,,,,,,,,,,,,,,,,,,
231,01273,Neuville-sur-Ain,678,1683,20659.52380952381,,,,,,,,,,,,,,,,,,,,,,,,
232,01274,Les Neyrolles,234,622,19131.33333333333,,,,,,,,,,,,,,,,,,,,,,,,
233,01275,Neyron,998,2576.5,27144.666666666668,71,,,,,,,,,,80,70.7,1.9,7.4,23,18.6,2,1.2,0.4,0.4,-23.6,15886,53498,3.367619287422888
234,01276,Niévroz,552,1608,24331.5,,,,,,,,,,,,,,,,,,,,,,,,
235,01277,Nivollet-Montgriffon,58,118,21540,,,,,,,,,,,,,,,,,,,,,,,,
236,01279,Oncieu,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,01280,Ordonnaz,75,152,20613.809523809523,,,,,,,,,,,,,,,,,,,,,,,,
